feature,category,scale
symbol_229,fund flow,0
symbol_230,fund flow,0
symbol_231,fund flow,0
symbol_232,fund flow,0
symbol_233,fund flow,0
symbol_234,fund flow,0
symbol_235,fund flow,0
symbol_236,fund flow,0
symbol_237,fund flow,0
symbol_238,fund flow,0
symbol_239,fund flow,0
symbol_240,fund flow,0
symbol_241,fund flow,0
symbol_242,fund flow,0
symbol_243,fund flow,0
